size	stride	elapsed(s)	cycles
4096	1	0.000944	944
4096	2	0.000914	914
4096	4	0.000886	886
4096	8	0.000886	886
4096	16	0.000888	889
4096	32	0.000911	910
4096	64	0.000812	812
4096	128	0.000804	805
4096	256	0.000795	795
4096	512	0.000781	781
4096	1024	0.000801	802
4096	2048	0.000760	761
8192	1	0.001815	1815
8192	2	0.001840	1840
8192	4	0.001790	1790
8192	8	0.001788	1789
8192	16	0.001797	1797
8192	32	0.001794	1794
8192	64	0.001769	1769
8192	128	0.001651	1651
8192	256	0.001626	1625
8192	512	0.001588	1588
8192	1024	0.001591	1591
8192	2048	0.001614	1614
8192	4096	0.001686	1686
16384	1	0.003599	3600
16384	2	0.003583	3583
16384	4	0.003549	3550
16384	8	0.003512	3512
16384	16	0.003558	3559
16384	32	0.003560	3560
16384	64	0.003553	3553
16384	128	0.003524	3524
16384	256	0.003314	3314
16384	512	0.003266	3266
16384	1024	0.003234	3234
16384	2048	0.003345	3345
16384	4096	0.003489	3488
16384	8192	0.003309	3309
32768	1	0.007100	7100
32768	2	0.007148	7148
32768	4	0.007171	7172
32768	8	0.007137	7137
32768	16	0.007045	7045
32768	32	0.006787	6787
32768	64	0.007258	7258
32768	128	0.007322	7322
32768	256	0.007114	7114
32768	512	0.006637	6637
32768	1024	0.006519	6519
32768	2048	0.006655	6655
32768	4096	0.007015	7015
32768	8192	0.006956	6956
32768	16384	0.006683	6682
65536	1	0.013391	13390
65536	2	0.012937	12937
65536	4	0.014167	14167
65536	8	0.014225	14225
65536	16	0.014220	14220
65536	32	0.014305	14305
65536	64	0.012643	12643
65536	128	0.013237	13237
65536	256	0.012194	12194
65536	512	0.012433	12434
65536	1024	0.012199	12199
65536	2048	0.023907	23906
65536	4096	0.042461	42461
65536	8192	0.014129	14129
65536	16384	0.013950	13950
65536	32768	0.013258	13258
131072	1	0.026921	26920
131072	2	0.026071	26071
131072	4	0.028298	28297
131072	8	0.028565	28565
131072	16	0.028272	28271
131072	32	0.029440	29439
131072	64	0.025170	25169
131072	128	0.026582	26581
131072	256	0.024239	24240
131072	512	0.024459	24458
131072	1024	0.024575	24574
131072	2048	0.070904	70904
131072	4096	0.104453	104453
131072	8192	0.064878	64878
131072	16384	0.028216	28215
131072	32768	0.027872	27872
131072	65536	0.026628	26628
262144	1	0.053901	53900
262144	2	0.051959	51959
262144	4	0.056517	56517
262144	8	0.056978	56978
262144	16	0.057008	57008
262144	32	0.056397	56398
262144	64	0.050978	50978
262144	128	0.056796	56796
262144	256	0.056910	56911
262144	512	0.057646	57646
262144	1024	0.060765	60765
262144	2048	0.141226	141227
262144	4096	0.221214	221213
262144	8192	0.210272	210272
262144	16384	0.196716	196716
262144	32768	0.056482	56481
262144	65536	0.055705	55706
262144	131072	0.053168	53169
524288	1	0.107580	107580
524288	2	0.103717	103715
524288	4	0.114218	114218
524288	8	0.114292	114292
524288	16	0.115380	115380
524288	32	0.112275	112276
524288	64	0.113560	113561
524288	128	0.138677	138677
524288	256	0.163129	163129
524288	512	0.169152	169152
524288	1024	0.171945	171946
524288	2048	0.161782	161782
524288	4096	0.444773	444773
524288	8192	0.418417	418417
524288	16384	0.384187	384187
524288	32768	0.407593	407593
524288	65536	0.120511	120511
524288	131072	0.111425	111424
524288	262144	0.106325	106325
1048576	1	0.215970	215970
1048576	2	0.208569	208569
1048576	4	0.227486	227486
1048576	8	0.227868	227868
1048576	16	0.230344	230343
1048576	32	0.224453	224453
1048576	64	0.226761	226761
1048576	128	0.279166	279167
1048576	256	0.338388	338388
1048576	512	0.355052	355052
1048576	1024	0.364230	364229
1048576	2048	0.321356	321357
1048576	4096	0.934234	934234
1048576	8192	0.893223	893223
1048576	16384	0.842459	842458
1048576	32768	0.823788	823788
1048576	65536	0.577504	577504
1048576	131072	0.240670	240670
1048576	262144	0.222711	222710
1048576	524288	0.212439	212439
2097152	1	0.432141	432141
2097152	2	0.417042	417042
2097152	4	0.455215	455215
2097152	8	0.455275	455275
2097152	16	0.461263	461263
2097152	32	0.449276	449276
2097152	64	0.453123	453123
2097152	128	0.556889	556889
2097152	256	0.676721	676721
2097152	512	0.712716	712716
2097152	1024	0.730050	730050
2097152	2048	0.642737	642737
2097152	4096	1.875454	1875454
2097152	8192	1.781987	1781987
2097152	16384	1.770487	1770487
2097152	32768	1.751505	1751504
2097152	65536	1.639665	1639665
2097152	131072	1.156067	1156067
2097152	262144	0.481393	481393
2097152	524288	0.445245	445245
2097152	1048576	0.425371	425371
4194304	1	0.862649	862649
4194304	2	0.834983	834983
4194304	4	0.910787	910787
4194304	8	0.911415	911415
4194304	16	0.923077	923076
4194304	32	0.899799	899799
4194304	64	0.921485	921484
4194304	128	1.144450	1144450
4194304	256	1.399863	1399863
4194304	512	1.492040	1492040
4194304	1024	1.589944	1589944
4194304	2048	1.357845	1357845
4194304	4096	3.717951	3717951
4194304	8192	3.645919	3645918
4194304	16384	3.536327	3536327
4194304	32768	3.546164	3546163
4194304	65536	3.350235	3350235
4194304	131072	3.385141	3385141
4194304	262144	3.081986	3081986
4194304	524288	0.953899	953898
4194304	1048576	0.890537	890536
4194304	2097152	0.850747	850746
