size	stride	elapsed(s)	cycles
4096	1	0.000935	935
4096	2	0.000956	956
4096	4	0.000920	920
4096	8	0.000869	870
4096	16	0.000882	882
4096	32	0.000878	878
4096	64	0.000862	862
4096	128	0.000807	808
4096	256	0.000799	800
4096	512	0.000785	785
4096	1024	0.000759	759
4096	2048	0.000794	794
8192	1	0.001799	1798
8192	2	0.001807	1806
8192	4	0.001773	1774
8192	8	0.001748	1747
8192	16	0.001802	1802
8192	32	0.001776	1776
8192	64	0.001777	1777
8192	128	0.001664	1663
8192	256	0.001610	1610
8192	512	0.001588	1588
8192	1024	0.001554	1554
8192	2048	0.001646	1646
8192	4096	0.001654	1654
16384	1	0.003572	3572
16384	2	0.003556	3556
16384	4	0.003548	3548
16384	8	0.003506	3506
16384	16	0.003562	3561
16384	32	0.003596	3596
16384	64	0.003538	3538
16384	128	0.003540	3539
16384	256	0.003424	3424
16384	512	0.003303	3302
16384	1024	0.003254	3254
16384	2048	0.003318	3317
16384	4096	0.003490	3490
16384	8192	0.003312	3312
32768	1	0.007074	7075
32768	2	0.007056	7056
32768	4	0.007070	7070
32768	8	0.006918	6917
32768	16	0.006868	6868
32768	32	0.006630	6629
32768	64	0.007139	7139
32768	128	0.007103	7102
32768	256	0.006997	6997
32768	512	0.006754	6754
32768	1024	0.006542	6542
32768	2048	0.006736	6736
32768	4096	0.007131	7130
32768	8192	0.006925	6925
32768	16384	0.006619	6618
65536	1	0.013408	13408
65536	2	0.012884	12884
65536	4	0.014039	14039
65536	8	0.014194	14194
65536	16	0.014033	14034
65536	32	0.013701	13701
65536	64	0.012087	12088
65536	128	0.012202	12203
65536	256	0.012499	12499
65536	512	0.012398	12398
65536	1024	0.012032	12032
65536	2048	0.014183	14183
65536	4096	0.032403	32402
65536	8192	0.014043	14044
65536	16384	0.013940	13940
65536	32768	0.013249	13249
131072	1	0.027088	27088
131072	2	0.025872	25872
131072	4	0.027944	27944
131072	8	0.028278	28278
131072	16	0.028030	28029
131072	32	0.027370	27369
131072	64	0.024990	24989
131072	128	0.026737	26738
131072	256	0.028014	28014
131072	512	0.028622	28622
131072	1024	0.030947	30947
131072	2048	0.069447	69447
131072	4096	0.119535	119535
131072	8192	0.065292	65292
131072	16384	0.028231	28231
131072	32768	0.027755	27755
131072	65536	0.026506	26505
262144	1	0.053993	53994
262144	2	0.052318	52319
262144	4	0.056151	56152
262144	8	0.056737	56737
262144	16	0.056029	56029
262144	32	0.054694	54694
262144	64	0.053384	53384
262144	128	0.060802	60802
262144	256	0.069390	69391
262144	512	0.070758	70758
262144	1024	0.074232	74231
262144	2048	0.138932	138932
262144	4096	0.232632	232632
262144	8192	0.233789	233788
262144	16384	0.177967	177968
262144	32768	0.056266	56266
262144	65536	0.055725	55724
262144	131072	0.053190	53190
524288	1	0.107848	107848
524288	2	0.104399	104399
524288	4	0.112629	112630
524288	8	0.112950	112950
524288	16	0.112052	112053
524288	32	0.109179	109178
524288	64	0.111205	111204
524288	128	0.133547	133547
524288	256	0.163867	163867
524288	512	0.169610	169609
524288	1024	0.174621	174621
524288	2048	0.158595	158595
524288	4096	0.480681	480681
524288	8192	0.457294	457294
524288	16384	0.452636	452635
524288	32768	0.379372	379371
524288	65536	0.120290	120290
524288	131072	0.111390	111390
524288	262144	0.106371	106371
1048576	1	0.215476	215475
1048576	2	0.207991	207992
1048576	4	0.225305	225305
1048576	8	0.225625	225624
1048576	16	0.223843	223842
1048576	32	0.219037	219038
1048576	64	0.225064	225064
1048576	128	0.273297	273296
1048576	256	0.338908	338908
1048576	512	0.353813	353813
1048576	1024	0.363157	363157
1048576	2048	0.323212	323212
1048576	4096	0.940424	940424
1048576	8192	0.907840	907840
1048576	16384	0.924373	924373
1048576	32768	0.839090	839090
1048576	65536	0.577836	577836
1048576	131072	0.240911	240912
1048576	262144	0.222586	222587
1048576	524288	0.212809	212809
2097152	1	0.431798	431798
2097152	2	0.418117	418117
2097152	4	0.451210	451210
2097152	8	0.451508	451509
2097152	16	0.447450	447450
2097152	32	0.438112	438112
2097152	64	0.450276	450276
2097152	128	0.546231	546231
2097152	256	0.678718	678718
2097152	512	0.711674	711674
2097152	1024	0.730799	730799
2097152	2048	0.646775	646774
2097152	4096	1.858923	1858923
2097152	8192	1.791545	1791544
2097152	16384	1.757857	1757857
2097152	32768	1.657489	1657488
2097152	65536	1.642539	1642539
2097152	131072	1.581756	1581755
2097152	262144	0.481459	481459
2097152	524288	0.445125	445125
2097152	1048576	0.427662	427662
4194304	1	0.861921	861920
4194304	2	0.836521	836521
4194304	4	0.906721	906721
4194304	8	0.905811	905811
4194304	16	0.894204	894204
4194304	32	0.878468	878468
4194304	64	0.912673	912673
4194304	128	1.124793	1124793
4194304	256	1.403667	1403667
4194304	512	1.482840	1482840
4194304	1024	1.565592	1565592
4194304	2048	1.301715	1301715
4194304	4096	3.717030	3717030
4194304	8192	3.728887	3728887
4194304	16384	3.558685	3558685
4194304	32768	3.499274	3499274
4194304	65536	3.577127	3577127
4194304	131072	3.384689	3384690
4194304	262144	2.315187	2315187
4194304	524288	0.963213	963213
4194304	1048576	0.894591	894591
4194304	2097152	0.851327	851327
