size	stride	elapsed(s)	cycles
4096	1	0.000932	933
4096	2	0.000889	890
4096	4	0.000920	920
4096	8	0.000875	874
4096	16	0.000883	884
4096	32	0.000876	876
4096	64	0.000831	831
4096	128	0.000844	844
4096	256	0.000794	793
4096	512	0.000782	782
4096	1024	0.000767	766
4096	2048	0.000769	769
8192	1	0.001811	1828
8192	2	0.001777	1777
8192	4	0.001807	1807
8192	8	0.001791	1791
8192	16	0.001812	1812
8192	32	0.001784	1784
8192	64	0.001784	1783
8192	128	0.001650	1650
8192	256	0.001681	1682
8192	512	0.001619	1619
8192	1024	0.001589	1589
8192	2048	0.001618	1617
8192	4096	0.001657	1657
16384	1	0.003570	3570
16384	2	0.003556	3556
16384	4	0.003552	3552
16384	8	0.003533	3533
16384	16	0.003561	3561
16384	32	0.003582	3582
16384	64	0.003647	3646
16384	128	0.003609	3610
16384	256	0.003422	3422
16384	512	0.003319	3319
16384	1024	0.003250	3250
16384	2048	0.003404	3404
16384	4096	0.003545	3544
16384	8192	0.003394	3395
32768	1	0.007248	7249
32768	2	0.007256	7256
32768	4	0.007240	7240
32768	8	0.007166	7166
32768	16	0.007074	7075
32768	32	0.007022	7022
32768	64	0.006882	6882
32768	128	0.007280	7280
32768	256	0.007174	7174
32768	512	0.006848	6848
32768	1024	0.006550	6550
32768	2048	0.006761	6762
32768	4096	0.007014	7014
32768	8192	0.006925	6925
32768	16384	0.006676	6676
65536	1	0.013436	13436
65536	2	0.012975	12976
65536	4	0.013989	13989
65536	8	0.014166	14165
65536	16	0.014161	14160
65536	32	0.013931	13931
65536	64	0.012726	12726
65536	128	0.012230	12231
65536	256	0.012263	12264
65536	512	0.012315	12314
65536	1024	0.012094	12095
65536	2048	0.014122	14122
65536	4096	0.032433	32433
65536	8192	0.014131	14131
65536	16384	0.013947	13947
65536	32768	0.013278	13278
131072	1	0.027067	27066
131072	2	0.026153	26153
131072	4	0.027899	27898
131072	8	0.028528	28528
131072	16	0.028406	28406
131072	32	0.027920	27920
131072	64	0.025997	25997
131072	128	0.025479	25479
131072	256	0.026094	26095
131072	512	0.026369	26369
131072	1024	0.027321	27321
131072	2048	0.068423	68423
131072	4096	0.111548	111548
131072	8192	0.065065	65065
131072	16384	0.028159	28159
131072	32768	0.027773	27774
131072	65536	0.026551	26551
262144	1	0.053712	53712
262144	2	0.052046	52046
262144	4	0.055929	55929
262144	8	0.056631	56630
262144	16	0.056111	56110
262144	32	0.055163	55162
262144	64	0.052637	52636
262144	128	0.055617	55617
262144	256	0.060630	60630
262144	512	0.062265	62265
262144	1024	0.064925	64925
262144	2048	0.142012	142012
262144	4096	0.219731	219731
262144	8192	0.224871	224871
262144	16384	0.129534	129534
262144	32768	0.056732	56733
262144	65536	0.055854	55854
262144	131072	0.053173	53173
524288	1	0.107800	107801
524288	2	0.104287	104287
524288	4	0.112213	112213
524288	8	0.112480	112480
524288	16	0.111469	111469
524288	32	0.108359	108360
524288	64	0.111335	111334
524288	128	0.133248	133248
524288	256	0.160898	160898
524288	512	0.166984	166985
524288	1024	0.170313	170313
524288	2048	0.159558	159558
524288	4096	0.444587	444587
524288	8192	0.432248	432247
524288	16384	0.432589	432589
524288	32768	0.287539	287539
524288	65536	0.120174	120174
524288	131072	0.111215	111215
524288	262144	0.106266	106266
1048576	1	0.215290	215290
1048576	2	0.208705	208706
1048576	4	0.224392	224392
1048576	8	0.224464	224464
1048576	16	0.222662	222662
1048576	32	0.215977	215977
1048576	64	0.224339	224339
1048576	128	0.269941	269941
1048576	256	0.334694	334694
1048576	512	0.353556	353556
1048576	1024	0.362777	362777
1048576	2048	0.320795	320795
1048576	4096	0.918900	918900
1048576	8192	0.913400	913399
1048576	16384	0.868854	868854
1048576	32768	0.849074	849073
1048576	65536	0.577467	577467
1048576	131072	0.241170	241170
1048576	262144	0.222785	222786
1048576	524288	0.212498	212498
2097152	1	0.431713	431713
2097152	2	0.417905	417905
2097152	4	0.449183	449183
2097152	8	0.451168	451168
2097152	16	0.445816	445816
2097152	32	0.433201	433201
2097152	64	0.448701	448701
2097152	128	0.542157	542156
2097152	256	0.673786	673785
2097152	512	0.711349	711349
2097152	1024	0.729632	729632
2097152	2048	0.641042	641042
2097152	4096	1.877178	1877178
2097152	8192	1.903047	1903047
2097152	16384	1.770035	1770036
2097152	32768	1.772892	1772893
2097152	65536	1.849017	1849017
2097152	131072	1.607575	1607576
2097152	262144	0.490794	490794
2097152	524288	0.444938	444939
2097152	1048576	0.425819	425819
4194304	1	0.863004	863004
4194304	2	0.836429	836429
4194304	4	0.898215	898215
4194304	8	0.899891	899891
4194304	16	0.893349	893349
4194304	32	0.870528	870528
4194304	64	0.916052	916052
4194304	128	1.117248	1117248
4194304	256	1.403298	1403298
4194304	512	1.483053	1483053
4194304	1024	1.575449	1575449
4194304	2048	1.402331	1402331
4194304	4096	3.717096	3717096
4194304	8192	3.705757	3705757
4194304	16384	3.539252	3539252
4194304	32768	3.718852	3718852
4194304	65536	3.684264	3684264
4194304	131072	3.597785	3597785
4194304	262144	2.814792	2814792
4194304	524288	0.963087	963086
4194304	1048576	0.890734	890733
4194304	2097152	0.851191	851190
